IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IC_GROUP0;IC_GROUP1;IC_GROUP2
253;Платье Модница на Прогулке;133;Y;;;/iblock/24b/24b5b0c365e55c08df7f867476eb0662.jpg;;text;;"Великолепное и стильное платье поможет создать незабываемый образ. Оригинальный покрой и длина выгодно подчеркнут все достоинства Вашей фигуры. Отличный вариант для любого случая.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Миди, 92.0 см</li>

							<li><b>Длина рукава:</b> Короткие, 12.0 см</li>

							<li><b>Сезон: </b>демисезон</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Стиль:</b> Casual</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель:</b> Китай</li>
							</ul>
							</div>
							</div>";html;dress-fashionista-on-a-walk;690;;/iblock/abe/abeb01e013aafa0f68368e95e6f7bafb.jpg;Платья;;
253;Платье Модница на Прогулке;133;Y;;;/iblock/24b/24b5b0c365e55c08df7f867476eb0662.jpg;;text;;"Великолепное и стильное платье поможет создать незабываемый образ. Оригинальный покрой и длина выгодно подчеркнут все достоинства Вашей фигуры. Отличный вариант для любого случая.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Миди, 92.0 см</li>

							<li><b>Длина рукава:</b> Короткие, 12.0 см</li>

							<li><b>Сезон: </b>демисезон</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Стиль:</b> Casual</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель:</b> Китай</li>
							</ul>
							</div>
							</div>";html;dress-fashionista-on-a-walk;690;;/iblock/c9d/c9d87d72b08c6e02b716cb4bffe05327.jpg;Платья;;
253;Платье Модница на Прогулке;133;Y;;;/iblock/24b/24b5b0c365e55c08df7f867476eb0662.jpg;;text;;"Великолепное и стильное платье поможет создать незабываемый образ. Оригинальный покрой и длина выгодно подчеркнут все достоинства Вашей фигуры. Отличный вариант для любого случая.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Миди, 92.0 см</li>

							<li><b>Длина рукава:</b> Короткие, 12.0 см</li>

							<li><b>Сезон: </b>демисезон</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Стиль:</b> Casual</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель:</b> Китай</li>
							</ul>
							</div>
							</div>";html;dress-fashionista-on-a-walk;690;;/iblock/134/134f936158b92231a09bf8e3dfa468cf.jpg;Платья;;
253;Платье Модница на Прогулке;133;Y;;;/iblock/24b/24b5b0c365e55c08df7f867476eb0662.jpg;;text;;"Великолепное и стильное платье поможет создать незабываемый образ. Оригинальный покрой и длина выгодно подчеркнут все достоинства Вашей фигуры. Отличный вариант для любого случая.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Миди, 92.0 см</li>

							<li><b>Длина рукава:</b> Короткие, 12.0 см</li>

							<li><b>Сезон: </b>демисезон</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Стиль:</b> Casual</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель:</b> Китай</li>
							</ul>
							</div>
							</div>";html;dress-fashionista-on-a-walk;690;;/iblock/ab4/ab41c7e17410e353e080b997cc645e84.jpg;Платья;;
253;Платье Модница на Прогулке;133;Y;;;/iblock/24b/24b5b0c365e55c08df7f867476eb0662.jpg;;text;;"Великолепное и стильное платье поможет создать незабываемый образ. Оригинальный покрой и длина выгодно подчеркнут все достоинства Вашей фигуры. Отличный вариант для любого случая.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Миди, 92.0 см</li>

							<li><b>Длина рукава:</b> Короткие, 12.0 см</li>

							<li><b>Сезон: </b>демисезон</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Стиль:</b> Casual</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель:</b> Китай</li>
							</ul>
							</div>
							</div>";html;dress-fashionista-on-a-walk;690;;/iblock/74b/74b2c01568fe7c58bfdd4ce9727acb97.jpg;Платья;;
271;Платье Ночная Жизнь;135;Y;;;/iblock/b97/b97624027b75b33432edd28f93ddeb7e.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль:</b> Женственный стиль</li>

							<li><b>Страна бренда:</b> Турция</li>

							<li><b>Страна производитель:</b> Турция</li>
							</ul>
							</div>
							</div>";html;dress-nightlife;740;;/iblock/90a/90ab6f91dcc4e8348a99e60b5386b1bc.jpg;Платья;;
271;Платье Ночная Жизнь;135;Y;;;/iblock/b97/b97624027b75b33432edd28f93ddeb7e.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль:</b> Женственный стиль</li>

							<li><b>Страна бренда:</b> Турция</li>

							<li><b>Страна производитель:</b> Турция</li>
							</ul>
							</div>
							</div>";html;dress-nightlife;740;;/iblock/663/6632aaef56adec2b7537ce8eade9801a.jpg;Платья;;
271;Платье Ночная Жизнь;135;Y;;;/iblock/b97/b97624027b75b33432edd28f93ddeb7e.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль:</b> Женственный стиль</li>

							<li><b>Страна бренда:</b> Турция</li>

							<li><b>Страна производитель:</b> Турция</li>
							</ul>
							</div>
							</div>";html;dress-nightlife;740;;/iblock/763/763e73c61857d132d07fe47f63e48fa8.jpg;Платья;;
271;Платье Ночная Жизнь;135;Y;;;/iblock/b97/b97624027b75b33432edd28f93ddeb7e.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль:</b> Женственный стиль</li>

							<li><b>Страна бренда:</b> Турция</li>

							<li><b>Страна производитель:</b> Турция</li>
							</ul>
							</div>
							</div>";html;dress-nightlife;740;;/iblock/7ab/7ab0cff8adacda755f9ab6092d17b579.jpg;Платья;;
271;Платье Ночная Жизнь;135;Y;;;/iblock/b97/b97624027b75b33432edd28f93ddeb7e.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль:</b> Женственный стиль</li>

							<li><b>Страна бренда:</b> Турция</li>

							<li><b>Страна производитель:</b> Турция</li>
							</ul>
							</div>
							</div>";html;dress-nightlife;740;;/iblock/456/456611adbe2b32f97bf50571db45b05e.jpg;Платья;;
280;Платье Красная Фея;136;Y;;;/iblock/61d/61d1288c8dfd23c4bb0d14be9e371696.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль: </b>Женственный стиль</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель: </b>Турция</li>
							</ul>
							</div>
							</div>";html;dress-red-fairy;710;;/iblock/089/089999fde6c2b488b188a7cf0ad0140a.jpg;Платья;;
280;Платье Красная Фея;136;Y;;;/iblock/61d/61d1288c8dfd23c4bb0d14be9e371696.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль: </b>Женственный стиль</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель: </b>Турция</li>
							</ul>
							</div>
							</div>";html;dress-red-fairy;710;;/iblock/82e/82e44d7ce7c5c183e19864b922d5fcb6.jpg;Платья;;
280;Платье Красная Фея;136;Y;;;/iblock/61d/61d1288c8dfd23c4bb0d14be9e371696.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль: </b>Женственный стиль</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель: </b>Турция</li>
							</ul>
							</div>
							</div>";html;dress-red-fairy;710;;/iblock/a22/a229fda206942acf43b28340c0e8a393.jpg;Платья;;
280;Платье Красная Фея;136;Y;;;/iblock/61d/61d1288c8dfd23c4bb0d14be9e371696.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль: </b>Женственный стиль</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель: </b>Турция</li>
							</ul>
							</div>
							</div>";html;dress-red-fairy;710;;/iblock/735/7356b81891cabc795abed6540232beec.jpg;Платья;;
280;Платье Красная Фея;136;Y;;;/iblock/61d/61d1288c8dfd23c4bb0d14be9e371696.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль: </b>Женственный стиль</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель: </b>Турция</li>
							</ul>
							</div>
							</div>";html;dress-red-fairy;710;;/iblock/4ad/4adcc4cbab8016a474bc44389e6626fd.jpg;Платья;;
280;Платье Красная Фея;136;Y;;;/iblock/61d/61d1288c8dfd23c4bb0d14be9e371696.jpg;;text;;"Превосходное платье, выполненное из комфортного материала. Модель эффектно открывает плечи. Приталенный силуэт подчеркивает стройность фигуры. Отличный вариант для женского гардероба.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Длина изделия:</b> Мини, 85.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 56.0 см</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол:</b> Женский</li>

							<li><b>Стиль: </b>Женственный стиль</li>

							<li><b>Страна бренда:</b> Россия</li>

							<li><b>Страна производитель: </b>Турция</li>
							</ul>
							</div>
							</div>";html;dress-red-fairy;710;;/iblock/0ba/0bac9d83161e78a79e49fe7117db5864.jpg;Платья;;
262;Платье Весенняя Легкость;134;Y;;;/iblock/486/4861d35607734c1830677f18b75a3002.jpg;;text;;"Трикотажное платье без рукавов и округлым вырезом горловины. Небольшие складки по линии талии и широкий втачной пояс формируют привлекательный силуэт. Отличный выбор для ярких будней.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Вырез горловины:</b> Округлый вырез</li>

							<li><b>Длина изделия:</b> Миди, 92.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 57.0 см</li>

							<li><b>Покрой:</b> Приталенный</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Стиль:</b> Женственный стиль</li>

							<li><b>Страна бренда: </b>Россия</li>

							<li><b>Страна производитель:</b> Россия</li>
							</ul>
							</div>
							</div>";html;dress-spring-ease;750;;/iblock/720/720d1368fb4d179dcf39783a1ad00dd2.jpg;Платья;;
262;Платье Весенняя Легкость;134;Y;;;/iblock/486/4861d35607734c1830677f18b75a3002.jpg;;text;;"Трикотажное платье без рукавов и округлым вырезом горловины. Небольшие складки по линии талии и широкий втачной пояс формируют привлекательный силуэт. Отличный выбор для ярких будней.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Вырез горловины:</b> Округлый вырез</li>

							<li><b>Длина изделия:</b> Миди, 92.0 см</li>

							<li><b>Длина рукава: </b>Длинные, 57.0 см</li>

							<li><b>Покрой:</b> Приталенный</li>

							<li><b>Сезон:</b> демисезон</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Стиль:</b> Женственный стиль</li>

							<li><b>Страна бренда: </b>Россия</li>

							<li><b>Страна производитель:</b> Россия</li>
							</ul>
							</div>
							</div>";html;dress-spring-ease;750;;/iblock/28d/28d118db85d36dfb4d3b3ca59a90f051.jpg;Платья;;
